name,MS-SSIM,PSNR,category,quality,size
00006_SD_high_pipeline_1.png,0.978708,38.81,pipeline_1,high,SD
00006_SD_high_pipeline_2.png,0.961266,34.4666,pipeline_2,high,SD
00006_SD_high_pipeline_3.png,0.977167,38.1194,pipeline_3,high,SD
00006_SD_high_pipeline_4.png,0.96043,35.9294,pipeline_4,high,SD
00006_SD_high_pipeline_5.png,0.987063,40.9155,pipeline_5,high,SD
00006_SD_high_pipeline_6.png,0.973372,37.6977,pipeline_6,high,SD
00006_SD_low_pipeline_1.png,0.956167,35.9003,pipeline_1,low,SD
00006_SD_low_pipeline_2.png,0.927597,31.5719,pipeline_2,low,SD
00006_SD_low_pipeline_3.png,0.953876,35.0582,pipeline_3,low,SD
00006_SD_low_pipeline_4.png,0.948657,34.5452,pipeline_4,low,SD
00006_SD_low_pipeline_5.png,0.956394,35.0174,pipeline_5,low,SD
00006_SD_low_pipeline_6.png,0.924151,32.2783,pipeline_6,low,SD
00006_SD_medium_pipeline_1.png,0.963775,36.8805,pipeline_1,medium,SD
00006_SD_medium_pipeline_2.png,0.979212,39.3554,pipeline_2,medium,SD
00006_SD_medium_pipeline_3.png,0.960464,36.0213,pipeline_3,medium,SD
00006_SD_medium_pipeline_4.png,0.952618,35.2599,pipeline_4,medium,SD
00006_SD_medium_pipeline_5.png,0.962606,35.6842,pipeline_5,medium,SD
00006_SD_medium_pipeline_6.png,0.952801,35.4923,pipeline_6,medium,SD
00007_1K_high_pipeline_1.png,0.978541,38.7017,pipeline_1,high,1K
00007_1K_high_pipeline_2.png,0.956396,33.5198,pipeline_2,high,1K
00007_1K_high_pipeline_3.png,0.978261,38.473,pipeline_3,high,1K
00007_1K_high_pipeline_4.png,0.96215,36.4613,pipeline_4,high,1K
00007_1K_high_pipeline_5.png,0.97441,37.3449,pipeline_5,high,1K
00007_1K_high_pipeline_6.png,0.973204,38.1153,pipeline_6,high,1K
00007_1K_low_pipeline_1.png,0.952612,35.6108,pipeline_1,low,1K
00007_1K_low_pipeline_2.png,0.950703,33.8984,pipeline_2,low,1K
00007_1K_low_pipeline_3.png,0.955801,35.4813,pipeline_3,low,1K
00007_1K_low_pipeline_4.png,0.927025,32.599,pipeline_4,low,1K
00007_1K_low_pipeline_5.png,0.955052,35.0753,pipeline_5,low,1K
00007_1K_low_pipeline_6.png,0.942834,34.4398,pipeline_6,low,1K
00007_1K_medium_pipeline_1.png,0.962005,36.6729,pipeline_1,medium,1K
00007_1K_medium_pipeline_2.png,0.954651,34.5216,pipeline_2,medium,1K
00007_1K_medium_pipeline_3.png,0.964187,36.8118,pipeline_3,medium,1K
00007_1K_medium_pipeline_4.png,0.933971,33.1077,pipeline_4,medium,1K
00007_1K_medium_pipeline_5.png,0.965291,36.2357,pipeline_5,medium,1K
00007_1K_medium_pipeline_6.png,0.955593,35.8923,pipeline_6,medium,1K
00007_SD_high_pipeline_1.png,0.977284,38.364,pipeline_1,high,SD
00007_SD_high_pipeline_2.png,0.954797,33.1238,pipeline_2,high,SD
00007_SD_high_pipeline_3.png,0.975778,37.7675,pipeline_3,high,SD
00007_SD_high_pipeline_4.png,0.95823,35.9061,pipeline_4,high,SD
00007_SD_high_pipeline_5.png,0.971867,36.6983,pipeline_5,high,SD
00007_SD_high_pipeline_6.png,0.973674,37.9993,pipeline_6,high,SD
00007_SD_low_pipeline_1.png,0.954195,35.5447,pipeline_1,low,SD
00007_SD_low_pipeline_2.png,0.952459,33.7989,pipeline_2,low,SD
00007_SD_low_pipeline_3.png,0.951843,34.9536,pipeline_3,low,SD
00007_SD_low_pipeline_4.png,0.950948,34.8821,pipeline_4,low,SD
00007_SD_low_pipeline_5.png,0.958782,35.131,pipeline_5,low,SD
00007_SD_low_pipeline_6.png,0.946943,34.7336,pipeline_6,low,SD
